# Pathway	A4.humann2_Abundance
PWY-7157: eupatolitin 3-O-glucoside biosynthesis	1344.4519478246
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	300.3651561979
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	202.0253026415
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|unclassified	186.9063762363
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	98.4863481302
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	56.7693369549
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	52.2939572723
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	32.4397338651
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	30.3089774039
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	30.1334363814
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	25.3554954681
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Abiotrophia.s__Abiotrophia_defectiva	24.9819580677
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	24.9317048306
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	24.7525798644
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	20.2798158645
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	18.3688136123
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lactococcus.s__Lactococcus_lactis	16.7874372424
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	15.0542536993
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	13.1481499634
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_infantis	12.8836077839
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	12.6294706669
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lactobacillus.s__Lactobacillus_curvatus	9.9470151102
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Gemella.s__Gemella_haemolysans	9.2607078292
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_aurimucosum	9.2565663581
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	8.5804358694
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	7.0128301311
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_intermedius	6.7922213607
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Neisseria.s__Neisseria_sicca	6.6130814692
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_warneri	6.1696355095
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	5.6063883601
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_matruchotii	5.0131853301
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_durum	4.9436192894
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	4.7326007326
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Kocuria.s__Kocuria_rhizophila	4.3892590349
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_cristatus	4.3813621319
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Malassezia.s__Malassezia_globosa	4.2601943073
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Neisseria.s__Neisseria_meningitidis	3.8472145615
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Prevotella.s__Prevotella_melaninogenica	3.7453183521
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Actinomyces.s__Actinomyces_johnsonii	3.4482758621
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_aureus	3.3885142437
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Granulicatella.s__Granulicatella_elegans	3.2362459547
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Fusobacterium.s__Fusobacterium_periodonticum	3.0742344484
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_gordonii	2.9801016972
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lautropia.s__Lautropia_mirabilis	2.9069939196
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Finegoldia.s__Finegoldia_magna	2.8860028860
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Neisseria.s__Neisseria_macacae	2.8839412221
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Cardiobacterium.s__Cardiobacterium_hominis	2.5679099467
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Gemella.s__Gemella_sanguinis	2.1120150188
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Acinetobacter.s__Acinetobacter_ursingii	1.8416206262
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Rothia.s__Rothia_dentocariosa	1.5797788310
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	1.4619883041
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.4169467433
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Escherichia.s__Escherichia_coli	1.2426455671
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Kingella.s__Kingella_oralis	1.1261261261
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_jeikeium	1.0449320794
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Granulicatella.s__Granulicatella_adiacens	0.8291873964
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_australis	0.6645665186
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	0.3063725490
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis	848.1472560589
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	287.3531663558
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|unclassified	122.5732123154
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	34.5425615888
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	22.6975848208
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	22.3597329610
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	21.5605768165
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	17.5808406948
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	17.4419757200
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Lactococcus.s__Lactococcus_lactis	17.2762560822
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	16.5799980563
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	13.8811886484
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	11.1997454934
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	10.7641646569
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	9.0013400177
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Escherichia.s__Escherichia_coli	7.1425473223
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	6.8368870578
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Neisseria.s__Neisseria_sicca	6.1357580275
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	5.5380819956
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Acinetobacter.s__Acinetobacter_radioresistens	5.3932638838
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Acinetobacter.s__Acinetobacter_ursingii	5.3601164953
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	4.3478846969
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	4.1268273766
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Neisseria.s__Neisseria_meningitidis	4.0730714030
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Micrococcus.s__Micrococcus_luteus	3.8592281955
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Kocuria.s__Kocuria_rhizophila	3.6600557138
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Rothia.s__Rothia_mucilaginosa	3.5647801062
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	3.5563904365
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	3.4314135107
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Veillonella.s__Veillonella_atypica	3.3980218017
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_warneri	2.8706459784
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Veillonella.s__Veillonella_parvula	2.4891773435
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Malassezia.s__Malassezia_globosa	2.4532921466
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	2.2988505747
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Lautropia.s__Lautropia_mirabilis	2.0565595680
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_matruchotii	1.9812298797
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	1.7713908077
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Veillonella.s__Veillonella_dispar	1.7433663731
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_gordonii	1.5992847764
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Rothia.s__Rothia_dentocariosa	1.3774104683
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Granulicatella.s__Granulicatella_elegans	1.3440860215
PWY-6976: dTDP-L-mycarose biosynthesis	848.1472560589
PWY-6976: dTDP-L-mycarose biosynthesis|unclassified	122.5732123154
PWY-6976: dTDP-L-mycarose biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	17.4419757200
PWY-6976: dTDP-L-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	16.1654651355
PWY-6976: dTDP-L-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	11.1997454934
PWY-6976: dTDP-L-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	10.7641646569
PWY-6976: dTDP-L-mycarose biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	6.8368870578
PWY-6976: dTDP-L-mycarose biosynthesis|g__Kocuria.s__Kocuria_rhizophila	3.6600557138
PWY-6976: dTDP-L-mycarose biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	3.5563904365
PWY-6976: dTDP-L-mycarose biosynthesis|g__Streptococcus.s__Streptococcus_gordonii	1.4186011767
PWY-6976: dTDP-L-mycarose biosynthesis|g__Rothia.s__Rothia_dentocariosa	1.3774104683
