# Pathway	H9.humann2_Abundance
PWY-7157: eupatolitin 3-O-glucoside biosynthesis	460.0099735166
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lactobacillus.s__Lactobacillus_crispatus	128.4803657704
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|unclassified	109.9448158646
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lactobacillus.s__Lactobacillus_iners	38.7987371586
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	17.8831098726
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	17.4310132106
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	14.0161163573
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	11.3580501310
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	9.9695764593
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	8.6681264431
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Gordonia.s__Gordonia_otitidis	8.0352283990
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_aurimucosum	7.4849866308
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	6.6362091706
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	6.5291870203
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lactobacillus.s__Lactobacillus_jensenii	6.1848546182
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	5.6869910008
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	5.2910052910
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	5.1301437491
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	4.0368852505
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Facklamia.s__Facklamia_ignava	3.6388520779
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_massiliense	3.5220859995
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Gardnerella.s__Gardnerella_vaginalis	3.5187796767
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_jeikeium	3.1347962382
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_lugdunensis	3.0474979564
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	3.0180877263
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Finegoldia.s__Finegoldia_magna	2.8860028860
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.8248587571
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Peptoniphilus.s__Peptoniphilus_lacrimalis	2.7322404372
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Eubacterium.s__Eubacterium_rectale	2.4435556796
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	1.9051160585
